iv,B_D,W_D,theta_D,T_D,gamma_D,nu,nu2,L,U,sqrt_T_D,HR,lci,uci,model
homa2ir,1.001166907504226e-5,6.826314835455799e-4,0.17060309425879494,6.936443195281264e-4,0.015876776717552187,466.3666146436215,35704.0790318584,0.11898152165084472,0.22222466686674514,0.026337128156428264,"1.19 	 (1.13, 1.25)",1.1263491050240229,1.2488519219969614,MOD
ldlc,8.87709832223415e-9,2.9259844054029295e-7,0.0027402854240200325,3.023632486947505e-7,0.03229495713057239,143.7451370997208,8629.25066478473,0.0016623977341372028,0.003818173113902862,5.49875666578137e-4,"1 	 (1, 1)",1.0016637802832598,1.0038254716229007,MOD
min_age,5.102610011254242e-7,3.3779593904224495e-5,0.030297721573149514,3.4340881005462464e-5,0.016344574885795302,443.3009881132951,33689.55316808426,0.018811705742214295,0.04178373740408473,0.005860109299788056,"1.03 	 (1.02, 1.04)",1.0189897606316027,1.042668964069597,MOD
raceNH Black,1.0572111404015706e-4,0.003826944984012546,0.3753748663413923,0.003943238209456718,0.029491808322732585,165.6965247293456,10347.601717036048,0.252284121332947,0.4984656113498376,0.06279520849122741,"1.46 	 (1.29, 1.65)",1.2869616386010254,1.6461934313350512,MOD
raceNH White,3.5989006536705405e-5,0.0032385032576732475,0.1176338544835899,0.0032780911648636235,0.012076511969740446,758.5402790539268,61710.5585283146,0.00541466624670206,0.22985304272047774,0.057254616974211116,"1.12 	 (1.01, 1.26)",1.0054293520462536,1.2584150630859874,MOD
raceOther,3.26306915572461e-5,0.008821026899216154,0.11786031910352555,0.008856920659929124,0.004052623038090752,5886.89903012718,547986.7927938901,-0.0665946789106761,0.3023153171177272,0.094111214315453,"1.13 	 (0.94, 1.35)",0.9355743325042513,1.3529877796632277,MOD
sbp,6.385370564762503e-9,1.6521707182668244e-6,-6.12531798039304e-4,1.6591946258880632e-6,0.004233323512290967,5412.001398678539,502203.33455374296,-0.003137162177665519,0.0019120985815869105,0.0012880972889840515,"1 	 (1, 1)",0.9968677535737522,1.0019139278077809,MOD
bmi,6.386613427814489e-6,2.563915285655859e-4,0.0410700241833291,2.6341680333618185e-4,0.026669804969237418,194.5655672971916,12653.271590144244,0.00925652987306988,0.07288351849358832,0.016230120250207078,"1.04 	 (1.01, 1.08)",1.0092995040405917,1.0756052414987116,SIDD
egfr_ckdepi_2021,1.586117555249938e-5,3.704044071966044e-5,0.007959193122496766,5.4487733827409756e-5,0.32020588639295827,13.227021280052332,87.77763728180933,-0.006710665367893031,0.02262905161288656,0.007381580713330293,"1.01 	 (0.99, 1.02)",0.9933118008644004,1.0228870308682032,SIDD
female1,1.6067891772441324e-4,0.05459292907921072,-1.464981880064843,0.05476967588870758,0.003227092485557255,9151.39778652597,864210.7919075544,-1.9236713653229869,-1.0062923948066993,0.234029220160021,"0.23 	 (0.15, 0.37)",0.14606970125742016,0.3655718661866323,SIDD
hba1c,0.0022807483053067967,0.028995203690549573,0.3757114455585301,0.03150402682638705,0.07963499871502598,41.82451875312859,1419.170433559875,0.027533167044823947,0.7238897240722362,0.17749373742864014,"1.46 	 (1.03, 2.06)",1.027915707468223,2.0624399508680944,SIDD
homa2b,4.500774848966619e-7,8.546218266284255e-6,-0.006039629422481879,9.041303499670583e-6,0.054758169925870355,66.89006260937603,3001.5436202154983,-0.011935375588268415,-1.4388325669534296e-4,0.0030068760366318034,"0.99 	 (0.99, 1)",0.9881355684784164,0.999856127094004,SIDD
homa2ir,7.018575093311635e-4,0.008046915161380588,0.14091758288740722,0.008818958421644868,0.08754358772906906,37.53846678291894,1174.3399284273623,-0.043331179175937956,0.32516634495075236,0.093909309557918,"1.15 	 (0.96, 1.38)",0.9575942022881394,1.3842608916399672,SIDD
ldlc,4.809292132120646e-8,1.0373042350021743e-5,-0.0045653819347163185,1.042594456347507e-5,0.005074093107943237,3822.190383169411,349563.1507818271,-0.010893976886316846,0.0017632130168842072,0.003228923127526431,"1 	 (0.99, 1)",0.9891651475849054,1.0017647683909732,SIDD
min_age,7.1231388663335055e-6,0.002634375765906022,-0.18776077671684208,0.002642211218658989,0.002965490683573591,10787.667486605738,1023409.3524570892,-0.2885078342438527,-0.0870137191898315,0.05140244370318389,"0.83 	 (0.75, 0.92)",0.7493809342915281,0.9166645196523294,SIDD
raceNH Black,0.002668804091232174,0.20442636228240973,-1.8822501883333251,0.20736204678276512,0.01415728936853545,570.7558540212523,44903.71694172315,-2.7747834975792665,-0.9897168790873838,0.45537023045294156,"0.15 	 (0.06, 0.37)",0.06236297696367647,0.37168190704764054,SIDD
raceNH White,5.357866954774628e-4,0.16866442662428702,-2.8901228726554344,0.16925379198931223,0.0034821397978629957,7895.019427316338,742249.8249350938,-3.696462498769371,-2.083783246541498,0.4114046572285154,"0.06 	 (0.02, 0.12)",0.02481114085227911,0.12445846333915052,SIDD
raceOther,9.918234483921459e-4,1.0037384885485399,-2.2489304978863696,1.0048294943417713,0.0010857621112585279,77843.01904824685,7634368.950919693,-4.213621910876565,-0.2842390848961738,1.0024118386879572,"0.11 	 (0.01, 0.75)",0.014792693376765458,0.7525866910840573,SIDD
sbp,1.505239494817367e-7,2.5685413569766435e-5,0.012196059032114553,2.5850989914196345e-5,0.006405029168302078,2454.0326839534678,219381.64353085362,0.0022307888898496914,0.022161329174379414,0.005084386876920003,"1.01 	 (1, 1.02)",1.002233278950641,1.0224087155199386,SIDD
bmi,5.195720249000641e-6,3.448140346492889e-5,0.010664819768262628,4.01966957388296e-5,0.14218313642083252,23.13566577545545,445.1909520106459,-0.0017953959005766237,0.023125035437101878,0.006340086414145283,"1.01 	 (1, 1.02)",0.9982062148585157,1.0233944921253981,SIRD
egfr_ckdepi_2021,1.680416009876422e-6,6.544129424597134e-6,-0.004193946641620303,8.392587035461198e-6,0.22024884616075788,16.5006212441078,185.53046182146724,-0.009909235809109358,0.0015213425258687498,0.002896996209086439,"1 	 (0.99, 1)",0.9901396988994768,1.001522500354486,SIRD
female1,1.948987529720951e-4,0.0067831623465849,-0.38356239779156664,0.006997550974854205,0.03063766581189806,156.04678288038866,9588.069205982496,-0.5475367612323494,-0.21958803435078383,0.08365136564847106,"0.68 	 (0.58, 0.8)",0.5783727272929879,0.8028494762494601,SIRD
hba1c,0.0014253730262144015,0.004823311290563104,0.23767740269939167,0.006391221619398946,0.2453224785816915,15.38898901006393,149.5435966878182,0.07970950062206214,0.39564530477672116,0.0799451162948616,"1.27 	 (1.08, 1.49)",1.0829724191604824,1.4853423802586323,SIRD
homa2b,1.3159591290938363e-7,7.344652176206918e-7,0.0025297874038804086,8.792207218210139e-7,0.164640687608578,20.449839033493344,332.02299822274745,6.852688605850626e-4,0.004374305947175755,9.376677033048615e-4,"1 	 (1, 1)",1.0006855037109328,1.0043838871887687,SIRD
homa2ir,7.804193959314897e-4,0.0011264096587174587,0.5178367811053723,0.001984870994242097,0.4325023329047304,11.516778040309749,48.11335044296454,0.42826465209547887,0.6074089101152658,0.044551891028800306,"1.68 	 (1.53, 1.84)",1.53459216026126,1.8356688483633603,SIRD
ldlc,1.0034713648025146e-7,1.4325792163451198e-6,-0.002283546852480083,1.5429610664733964e-6,0.07153897303485837,47.520595981480575,1758.5596601763004,-0.004719812190346716,1.527184853865487e-4,0.0012421598393416993,"1 	 (1, 1)",0.9952913086202841,1.0001527301474482,SIRD
min_age,4.314885158788491e-6,1.471268751963359e-4,0.04394577083071506,1.5187324887100325e-4,0.03125220346539615,151.2733497797748,9214.700480673197,0.019788616068907135,0.06810292559252298,0.01232368649678347,"1.04 	 (1.02, 1.07)",1.019985708648302,1.0704754821321125,SIRD
raceNH Black,0.001281342238219313,0.016703725099583885,-0.20955680644500224,0.01811320156162513,0.07781487205593626,42.97201263902298,1486.3370171353256,-0.47355411418116844,0.0544405012911639,0.13458529474509884,"0.81 	 (0.62, 1.06)",0.6227848816145543,1.0559496469040193,SIRD
raceNH White,0.0014261051548486324,0.01172315882247684,0.02676555461520286,0.013291874492810335,0.1180206502237156,27.47780956741578,646.1398156114554,-0.19962352515549392,0.25315463438589964,0.11529039202297099,"1.03 	 (0.82, 1.29)",0.8190390426389302,1.2880824432728473,SIRD
raceOther,9.63152533776382e-4,0.028199187037223725,0.14909787200138488,0.029258654824377745,0.03621040657929674,120.66827223631299,6863.975220748145,-0.18621625963859376,0.4844120036413635,0.1710516145038618,"1.16 	 (0.83, 1.62)",0.8300940597281622,1.6232202805691225,SIRD
sbp,1.6356551453420278e-7,5.037821396925196e-6,0.0034250336627925987,5.217743462912819e-6,0.034482735164442356,129.96013493078206,7569.010297349983,-0.0010527066807154853,0.007902774006300683,0.0022842380486527273,"1 	 (1, 1.01)",0.99894784722058,1.0079340833473351,SIRD
